Názov,Cena
ASUS Vivobook 15 X1504ZA-BQ147W Cool Silver,"634,90 €"
ASUS Vivobook Go 15 E1504GA-BQ133WS Mixed Black,"299,90 €"
ASUS Vivobook Go 15 E1504GA-NJ250W Mixed Black,409 €
Acer Aspire 3 15 Pure Silver,"528,90 €"
Acer Aspire 3 Pure Silver,"345,90 €"
Acer Nitro 5 Obsidian Black,1 209 €
Acer Nitro V15 Shale Black,"814,90 €"
Acer Swift 3 Pure Silver celokovový,"561,90 €"
Asus Vivobook 15 OLED X1505ZA-OLED020W Black,698 €
Dell Vostro 3520,"641,90 €"
HP 15s-fq4940nc Natural Silver,"617,90 €"
HP 250 G10 Silver,"438,90 €"
Lenovo IdeaPad Gaming 3 15IAH7 Onyx Grey,"807,90 €"
Lenovo IdeaPad Slim 3 15IAH8 Arctic Grey,"412,90 €"
Lenovo Legion Pro 5 16IRX8 Onyx Grey kovový,1 789 €
Lenovo Legion Slim 5 14APH8 Storm Grey celokovový,1 639 €
Lenovo V15 G4 AMN Business Black,"507,90 €"
Lenovo V15 G4 AMN Business Black,"510,90 €"
Lenovo V15 G4 IRU Business Black,429 €
Lenovo V15 G4 IRU Business Black,"503,90 €"
Macbook Air 13 M1 Zlatý SK 2020,999 €
Macbook Air 13 M2 SK 2022 Strieborný,1 279 €
Macbook Air 13 M2 SK 2022 Temne atramentový,1 279 €
Umax VisionBook 12WRX Yellow,"157,90 €"
